A0A024QZ18	uc004dmu.4 human
A0A075B6H3	uc001bco.2 human
A0A075B6H4	uc010zru.3 human
A0A075B6H5	uc064sqk.1 human
A0A075B6H6	uc061lpw.1 human
A0A075B6H7	uc061lqm.1 human
A0A075B6H8	uc061lsc.1 human
A0A075B6H9	uc062cba.1 human
A0A075B6I0	uc062cbc.1 human
A0A075B6I1	uc062cbd.1 human
A0A075B6I2	uc062cbe.1 human
A0A075B6I3	uc062cbf.1 human
A0A075B6I4	uc032qho.2 human
A0A075B6I5	uc062cbm.1 human
A0A075B6I6	uc062cbn.1 human
A0A075B6I7	uc062cbp.1 human
A0A075B6I8	uc062cbq.1 human
A0A075B6I9	uc062cbr.1 human
A0A075B6J0	uc062cbv.1 human
A0A075B6J1	uc062cbw.1 human
A0A075B6J2	uc062ccj.1 human
A0A075B6J3	uc062ccq.1 human
A0A075B6J4	uc062ccr.1 human
A0A075B6J5	uc062cct.1 human
A0A075B6J6	uc062ccv.1 human
A0A075B6J7	uc062ccw.1 human
A0A075B6J8	uc062ccx.1 human
A0A075B6J9	uc062ccz.1 human
A0A075B6K0	uc062cdb.1 human
A0A075B6K1	uc062cdd.1 human
A0A075B6K2	uc062cde.1 human
A0A075B6K3	uc062cdg.1 human
A0A075B6K4	uc062cdh.1 human
A0A075B6K5	uc062cdi.1 human
A0A075B6K6	uc062cdn.1 human
A0A075B6K7	uc062cdo.1 human
A0A075B6K8	uc062cdy.1 human
A0A075B6K9	uc062cea.1 human
A0A075B6L0	uc062cec.1 human
A0A075B6L1	uc062ceh.1 human
A0A075B6L2	uc064cxu.1 human
A0A075B6L3	uc064cyb.1 human
A0A075B6L6	uc033ako.2 human
A0A075B6M9	uc064sqm.1 human
A0A075B6N1	uc003vzo.4 human
A0A075B6N2	uc064ist.1 human
A0A075B6N3	uc003vzx.4 human
A0A075B6N4	uc003waa.3 human
A0A075B6N7	uc059gck.1 human
A0A075B6N8	uc059gdk.1 human
A0A075B6N9	uc059gdp.1 human
A0A075B6P0	uc064oso.1 human
A0A075B6P1	uc062blr.1 human
A0A075B6P4	uc061xbv.1 human
A0A075B6P5	uc061lqy.1 human
A0A075B6P6	uc061xtb.1 human
A0A075B6P7	uc061lwb.1 human
A0A075B6P9	uc009xte.1 human
A0A075B6Q0	uc057jjk.1 human
A0A075B6Q2	uc057ikh.1 human
A0A075B6Q3	uc065bbr.1 human
A0A075B6Q4	uc063rzq.1 human
A0A075B6Q5	uc059ghb.1 human
A0A075B6Q6	uc064zgg.1 human
A0A075B6Q7	uc057qjn.1 human
A0A075B6Q9	uc064cxn.1 human
A0A075B6R0	uc064cyc.1 human
A0A075B6R1	uc061lrh.1 human
A0A075B6R2	uc059gfp.1 human
A0A075B6R3	uc060jal.1 human
A0A075B6R4	uc064zgh.1 human
A0A075B6R5	uc057pcz.1 human
A0A075B6R6	uc064cxi.1 human
A0A075B6R8	uc064sdm.1 human
A0A075B6R9	uc061lrs.1 human
A0A075B6S0	uc064cxl.1 human
A0A075B6S1	uc064itq.1 human
A0A075B6S2	uc061lro.1 human
A0A075B6S3	uc061lqz.1 human
A0A075B6S4	uc061lrw.1 human
A0A075B6S5	uc061lqx.1 human
A0A075B6S6	uc061lrn.1 human
A0A075B6S8	uc061lqk.1 human
A0A075B6S9	uc061lrk.1 human
A0A075B6T0	uc021utr.1 human
A0A075B6T1	uc001ncw.4 human
A0A075B6T3	uc064rks.1 human
A0A075B6T4	uc001nfw.3 human
A0A075B6T6	uc058zdt.1 human
A0A075B6T7	uc001wbt.2 human
A0A075B6T8	uc001wbv.4 human
A0A075B6T9	uc010tcg.3 human
A0A075B6U4	uc058zdo.1 human
A0A075B6U6	uc010tmq.4 human
A0A075B6U7	uc058zgq.1 human
A0A075B6U8	uc058zgz.1 human
A0A075B6U9	uc058zhh.1 human
A0A075B6V0	uc058zgw.1 human
A0A075B6V1	uc058zfz.1 human
A0A075B6V2	uc058zgs.1 human
A0A075B6V3	uc058zfu.1 human
A0A075B6V5	uc058zeo.1 human
A0A075B6V6	uc058zfg.1 human
A0A075B6V7	uc058zgo.1 human
A0A075B6V8	uc058zhe.1 human
A0A075B6V9	uc058zfl.1 human
A0A075B6W1	uc058zfh.1 human
A0A075B6W2	uc058zfr.1 human
A0A075B6W3	uc058zgh.1 human
A0A075B6W4	uc058zfw.1 human
A0A075B6W5	uc058zed.1 human
A0A075B6W6	uc058zgn.1 human
A0A075B6W7	uc058zgd.1 human
A0A075B6W8	uc021rqm.2 human
A0A075B6W9	uc058zfq.1 human
A0A075B6X0	uc058zfx.1 human
A0A075B6X2	uc058zfj.1 human
A0A075B6X3	uc058zgi.1 human
A0A075B6X4	uc058zgm.1 human
A0A075B6X5	uc058zea.1 human
A0A075B6X7	uc058zfs.1 human
A0A075B6X8	uc058zfy.1 human
A0A075B6X9	uc058zgv.1 human
A0A075B6Y0	uc058zft.1 human
A0A075B6Y1	uc058zgk.1 human
A0A075B6Y2	uc058zgf.1 human
A0A075B6Y3	uc058zhg.1 human
A0A075B6Y4	uc058zgu.1 human
A0A075B6Y5	uc058zfv.1 human
A0A075B6Y8	uc058zha.1 human
A0A075B6Y9	uc021rpz.2 human
A0A075B6Z0	uc058zgr.1 human
A0A075B6Z1	uc058zgt.1 human
A0A075B6Z2	uc058zfo.1 human
A0A075B6Z3	uc058zhd.1 human
A0A075B6Z4	uc058zff.1 human
A0A075B6Z5	uc058zhf.1 human
A0A075B6Z8	uc058zgp.1 human
A0A075B6Z9	uc021rqk.2 human
A0A075B700	uc058zgj.1 human
A0A075B702	uc058zga.1 human
A0A075B704	uc058zfn.1 human
A0A075B706	uc058zfe.1 human
A0A075B708	uc058zfk.1 human
A0A075B709	uc058zgy.1 human
A0A075B710	uc058zgc.1 human
A0A075B711	uc058zgl.1 human
A0A075B712	uc058zfp.1 human
A0A075B713	uc058zhi.1 human
A0A075B714	uc032ave.2 human
A0A075B715	uc058zzx.1 human
A0A075B716	uc059mno.1 human
A0A075B718	uc059iqc.1 human
A0A075B719	uc059iyw.1 human
A0A075B720	uc059jdk.1 human
A0A075B723	uc060pjo.1 human
A0A075B724	uc057rdc.1 human
A0A075B725	uc057rde.1 human
A0A075B727	uc060iux.1 human
A0A075B728	uc060iuy.1 human
A0A075B729	uc064rjs.1 human
A0A075B730	uc064rfx.1 human
A0A075B731	uc059rxr.1 human
A0A075B732	uc057rbl.1 human
A0A075B733	uc033dky.2 human
A0A075B734	uc061lsj.1 human
A0A075B735	uc057rdd.1 human
A0A075B736	uc057rdb.1 human
A0A075B737	uc060ivb.1 human
A0A075B738	uc032fos.2 human
A0A075B739	uc033dkx.1 human
A0A075B740	uc064rkt.1 human
A0A075B742	uc032exz.1 human
A0A075B743	uc057owm.1 human
A0A075B746	uc001euk.5 human
A0A075B747	uc002kae.3 human
A0A075B748	uc031wfl.2 human
A0A075B749	uc057kif.1 human
A0A075B751	uc060pcd.1 human
A0A075B752	uc057taf.1 human
A0A075B754	uc060dpb.1 human
A0A075B756	uc033aho.2 human
A0A075B757	uc057khu.1 human
A0A075B758	uc057kfy.1 human
A0A075B759	uc010paz.2 human
A0A075B761	uc031uvs.1 human
A0A075B762	uc057kcv.1 human
A0A075B763	uc031vlo.2 human
A0A075B764	uc057kdu.1 human
A0A075B765	uc057tbp.1 human
A0A075B767	uc057kdh.1 human
A0A075B768	uc060ptn.1 human
A0A075B769	uc059qgr.1 human
A0A075B770	uc057bza.1 human
A0A075B771	uc061dfp.1 human
A0A075B772	uc061dfo.1 human
A0A075B773	uc060eci.1 human
A0A075B774	uc060jgb.1 human
A0A075B777	uc060nll.1 human
A0A075B778	uc060jhq.1 human
A0A075B780	uc060ubs.1 human
A0A075B781	uc057wes.1 human
A0A075B783	uc060nzc.1 human
A0A075B784	uc060kwg.1 human
A0A075B785	uc002lik.2 human
A0A075B788	uc021pgy.3 human
A0A075B789	uc061bqw.1 human
A0A075B791	uc060you.1 human
A0A075B792	uc064dvs.1 human
A0A075B793	uc064zcr.1 human
A0A075B794	uc065bnm.1 human
A0A075B795	uc060yys.1 human
A0A075B796	uc060yot.1 human
A0A075B797	uc061bfk.1 human
A0A075B798	uc065bnn.1 human
A0A075B7A0	uc061aui.1 human
A0A075B7A1	uc002pju.4 human
A0A075B7A2	uc033ecx.2 human
A0A075B7A3	uc057jzw.1 human
A0A075B7A4	uc061bqv.1 human
A0A075B7A5	uc061cpm.1 human
A0A075B7A6	uc061bui.1 human
A0A075B7A7	uc060yol.1 human
A0A075B7A9	uc065bnl.1 human
A0A075B7B0	uc060yov.1 human
A0A075B7B1	uc032cru.2 human
A0A075B7B2	uc058aoc.1 human
A0A075B7B3	uc062nvp.1 human
A0A075B7B4	uc009xbv.3 human
A0A075B7B5	uc010prt.2 human
A0A075B7B6	uc059grc.1 human
A0A075B7B7	uc060ede.1 human
A0A075B7B8	uc059tru.1 human
A0A075B7B9	uc059gos.1 human
A0A075B7C0	uc060xno.1 human
A0A075B7C1	uc060edy.1 human
A0A075B7C2	uc060edj.1 human
A0A075B7C5	uc060eei.1 human
A0A075B7C7	uc057oww.1 human
A0A075B7C8	uc057owg.1 human
A0A075B7D0	uc059gqk.1 human
A0A075B7D1	uc060eee.1 human
A0A075B7D2	uc061hrz.1 human
A0A075B7D3	uc060eea.1 human
A0A075B7D4	uc061ndg.1 human
A0A075B7D5	uc057owv.1 human
A0A075B7D6	uc060edo.1 human
A0A075B7D8	uc059goo.1 human
A0A075B7D9	uc060eds.1 human
A0A075B7E0	uc059gor.1 human
A0A075B7E2	uc060edi.1 human
A0A075B7E4	uc060edr.1 human
A0A075B7E6	uc057owr.1 human
A0A075B7E7	uc057ovs.1 human
A0A075B7E8	uc059trv.1 human
A0A075B7E9	uc057ows.1 human
A0A075B7F0	uc059tqx.1 human
A0A075B7F1	uc021thd.3 human
A0A075B7F2	uc060edn.1 human
A0A075B7F3	uc033ewh.2 human
A0A075B7F4	uc060edx.1 human
A0A075B7F5	uc063qok.1 human
A0A075B7F7	uc057kia.1 human
A0A075B7F8	uc010lde.2 human
A0A075B7F9	uc057jwu.1 human
A0A075B7G2	uc060wie.1 human
A0A075B7G3	uc032taa.2 human
A0A075B7G4	uc032szz.2 human
A0A075B7G5	uc032tac.2 human
A0A075B7G6	uc060whp.1 human
A0A075B7G8	uc057yka.1 human
A0A075B7H0	uc064dyq.1 human
A0A087WSV0	uc061bhk.1 human
A0A087WSV2	uc058pah.1 human
A0A087WSV4	uc001jcx.5 human
A0A087WSV6	uc032iei.2 human
A0A087WSV7	uc060zom.1 human
A0A087WSV8	uc009yha.5 human
A0A087WSW0	uc011ckq.3 human
A0A087WSW1	uc057uaq.1 human
A0A087WSW2	uc031rka.1 human
A0A087WSW4	uc061cfp.1 human
A0A087WSW5	uc031uqt.2 human
A0A087WSW7	uc057uzd.1 human
A0A087WSW8	uc063hyl.1 human
A0A087WSW9	uc058snz.1 human
A0A087WSX0	uc062cbs.1 human
A0A087WSX2	uc059gfn.1 human
A0A087WSX3	uc059gga.1 human
A0A087WSX4	uc059ggv.1 human
A0A087WSX5	uc061dbc.1 human
A0A087WSX6	uc060bmm.1 human
A0A087WSX8	uc032ieg.2 human
A0A087WSY0	uc061zbo.1 human
A0A087WSY1	uc064vak.1 human
A0A087WSY3	uc060btx.1 human
A0A087WSY4	uc059ggg.1 human
A0A087WSY5	uc031qlk.1 human
A0A087WSY6	uc061lry.1 human
A0A087WSY8	uc061lrj.1 human
A0A087WSY9	uc058snu.1 human
A0A087WSZ0	uc061lse.1 human
A0A087WSZ1	uc031rlb.3 human
A0A087WSZ2	uc031xsh.2 human
A0A087WSZ3	uc061pyh.1 human
A0A087WSZ6	uc058ztx.1 human
A0A087WSZ7	uc063dvc.1 human
A0A087WSZ8	uc060agx.1 human
A0A087WSZ9	uc058zel.1 human
A0A087WT00	uc021vrt.2 human
A0A087WT01	uc058zej.1 human
A0A087WT02	uc032atm.2 human
A0A087WT03	uc058zeh.1 human
A0A087WT04	uc021pbd.1 human
A0A087WT05	uc003ljq.4 human
A0A087WT08	uc002oxx.3 human
A0A087WT09	uc060zjh.1 human
A0A087WT10	uc021ogf.1 human
A0A087WT11	uc021vkj.3 human
A0A087WT12	uc060qvt.1 human
A0A087WT15	uc022ccq.3 human
A0A087WT16	uc062asi.1 human
A0A087WT17	uc057ush.1 human
A0A087WT18	uc032vus.2 human
A0A087WT19	uc062asy.1 human
A0A087WT20	uc003yln.4 human
A0A087WT21	uc062bgl.1 human
A0A087WT22	uc010cnf.2 human
A0A087WT23	uc064lti.1 human
A0A087WT25	uc063obw.1 human
A0A087WT26	uc059wrt.1 human
A0A087WT27	uc003pjw.4 human
A0A087WT28	uc062mlf.1 human
A0A087WT30	uc058spc.1 human
A0A087WT32	uc061wwr.1 human
A0A087WT34	uc060rdu.1 human
A0A087WT35	uc060enu.1 human
A0A087WT36	uc057geh.1 human
A0A087WT37	uc063qds.1 human
A0A087WT38	uc064elm.1 human
A0A087WT39	uc061ypc.1 human
A0A087WT41	uc061cru.1 human
A0A087WT42	uc031tfc.2 human
A0A087WT44	uc059qga.1 human
A0A087WT45	uc064zcs.1 human
A0A087WT46	uc059xbu.1 human
A0A087WT47	uc057oia.1 human
A0A087WT48	uc059tvb.1 human
A0A087WT49	uc059vxn.1 human
A0A087WT50	uc059qis.1 human
A0A087WT51	uc059mwq.1 human
A0A087WT52	uc058ivy.1 human
A0A087WT53	uc062lhc.1 human
A0A087WT54	uc060rxo.1 human
A0A087WT55	uc062ksk.1 human
A0A087WT56	uc057szb.1 human
A0A087WT57	uc061yox.1 human
A0A087WT58	uc002vvc.2 human
A0A087WT59	uc060ofw.1 human
A0A087WT60	uc063stc.1 human
A0A087WT63	uc059rwn.1 human
A0A087WT64	uc021oyf.1 human
A0A087WT65	uc032ick.2 human
A0A087WT66	uc061zme.1 human
A0A087WT67	uc057ybh.1 human
A0A087WT69	uc058vke.1 human
A0A087WT70	uc063azq.1 human
A0A087WT71	uc058fsn.1 human
A0A087WT72	uc060qwh.1 human
A0A087WT73	uc064hwb.1 human
A0A087WT76	uc064usf.1 human
A0A087WT77	uc060rko.1 human
A0A087WT79	uc058zpi.1 human
A0A087WT80	uc061vig.1 human
A0A087WT82	uc058xtj.1 human
A0A087WT84	uc057qak.1 human
A0A087WT85	uc057kcx.1 human
A0A087WT87	uc063czy.1 human
A0A087WT88	uc060uxm.1 human
A0A087WT90	uc059mwt.1 human
A0A087WT91	uc032fdb.2 human
A0A087WT92	uc064gat.1 human
A0A087WT93	uc064vhe.1 human
A0A087WT94	uc064kww.1 human
A0A087WT95	uc059ddm.1 human
A0A087WT96	uc059lce.1 human
A0A087WT97	uc059klv.1 human
A0A087WT98	uc059bxq.1 human
A0A087WT99	uc031yay.1 human
A0A087WTA0	uc062vcq.1 human
A0A087WTA1	uc032efd.2 human
A0A087WTA2	uc059cwr.1 human
A0A087WTA5	uc061hom.1 human
A0A087WTA6	uc058wsv.1 human
A0A087WTA8	uc064fkx.1 human
A0A087WTA9	uc031sep.2 human
A0A087WTB0	uc057gdm.1 human
A0A087WTB1	uc061dkl.1 human
A0A087WTB2	uc064ogk.1 human
A0A087WTB3	uc060fay.1 human
A0A087WTB5	uc021paf.2 human
A0A087WTB6	uc059ujl.1 human
A0A087WTB7	uc058myh.1 human
A0A087WTB8	uc058xmq.1 human
A0A087WTB9	uc062bej.1 human
A0A087WTC0	uc064rtk.1 human
A0A087WTC1	uc062vcv.1 human
A0A087WTC3	uc031qsd.2 human
A0A087WTC5	uc061vvn.1 human
A0A087WTC6	uc021xtk.1 human
A0A087WTC8	uc062kzl.1 human
A0A087WTC9	uc059ecu.1 human
A0A087WTD0	uc059ogs.1 human
A0A087WTD2	uc010jzd.2 human
A0A087WTD3	uc060qqg.1 human
A0A087WTD5	uc059rjg.1 human
A0A087WTD6	uc060elb.1 human
A0A087WTD7	uc059mun.1 human
A0A087WTD8	uc060cdy.1 human
A0A087WTD9	uc059vxk.1 human
A0A087WTE0	uc058ekt.1 human
A0A087WTE1	uc057rot.1 human
A0A087WTE2	uc059ogl.1 human
A0A087WTE3	uc064itu.1 human
A0A087WTE4	uc058hjn.1 human
A0A087WTE5	uc063jeo.1 human
A0A087WTE6	uc060emn.1 human
A0A087WTE7	uc061cqz.1 human
A0A087WTE8	uc057tls.1 human
A0A087WTE9	uc021yzp.2 human
A0A087WTF0	uc010mrj.3 human
A0A087WTF1	uc064uio.1 human
A0A087WTF2	uc057gea.1 human
A0A087WTF3	uc057tll.1 human
A0A087WTF5	uc062vcx.1 human
A0A087WTF6	uc058hjq.1 human
A0A087WTF7	uc057lyw.1 human
A0A087WTF9	uc059vhr.1 human
A0A087WTG0	uc057jwo.1 human
A0A087WTG2	uc059umq.1 human
A0A087WTG3	uc061tdd.1 human
A0A087WTG4	uc057ceq.1 human
A0A087WTG7	uc064jnm.1 human
A0A087WTG8	uc062doc.1 human
A0A087WTH0	uc062xsy.1 human
A0A087WTH1	uc031qvt.2 human
A0A087WTH2	uc002wqu.2 human
A0A087WTH3	uc061vts.1 human
A0A087WTH4	uc057kgb.1 human
A0A087WTH5	uc032psk.2 human
A0A087WTH8	uc060eiv.1 human
A0A087WTH9	uc058wvo.1 human
A0A087WTI0	uc057vvc.1 human
A0A087WTI1	uc058duu.1 human
A0A087WTI2	uc003ljp.3 human
A0A087WTI3	uc060qzx.1 human
A0A087WTI4	uc059huo.1 human
A0A087WTI5	uc057koy.1 human
A0A087WTI6	uc063rpr.1 human
A0A087WTI7	uc060yyf.1 human
A0A087WTI8	uc064zjg.1 human
A0A087WTI9	uc057gdo.1 human
A0A087WTJ0	uc064rom.1 human
A0A087WTJ2	uc022apw.1 human
A0A087WTJ3	uc062vpm.1 human
A0A087WTJ4	uc058ibc.1 human
A0A087WTJ5	uc060xgk.1 human
A0A087WTJ6	uc063iqj.1 human
A0A087WTJ7	uc059kar.1 human
A0A087WTJ8	uc060fet.1 human
A0A087WTJ9	uc010udk.2 human
A0A087WTK0	uc058bio.1 human
A0A087WTK1	uc058neh.1 human
A0A087WTK2	uc059tih.1 human
A0A087WTK3	uc031pue.1 human
A0A087WTK6	uc057elm.1 human
A0A087WTK8	uc060qqn.1 human
A0A087WTK9	uc058uii.1 human
A0A087WTL2	uc065ahx.1 human
A0A087WTL3	uc060qwy.1 human
A0A087WTL4	uc031rwh.1 human
A0A087WTL7	uc061nxm.1 human
A0A087WTL9	uc058nxz.1 human
A0A087WTM0	uc063syv.1 human
A0A087WTM1	uc062lqh.1 human
A0A087WTM4	uc057kem.1 human
A0A087WTM5	uc031qjv.1 human
A0A087WTM6	uc003mbe.4 human
A0A087WTM7	uc061gzp.1 human
A0A087WTN1	uc064xky.1 human
A0A087WTN2	uc064dvz.1 human
A0A087WTN6	uc011jvs.4 human
A0A087WTN8	uc059yna.1 human
A0A087WTN9	uc010qgh.4 human
A0A087WTP0	uc060esn.1 human
A0A087WTP1	uc059yny.1 human
A0A087WTP2	uc057lpj.1 human
A0A087WTP3	uc060sia.1 human
A0A087WTP4	uc063oud.1 human
A0A087WTP5	uc057tlu.1 human
A0A087WTP7	uc059ogk.1 human
A0A087WTP8	uc057szo.1 human
A0A087WTQ0	uc057khw.1 human
A0A087WTQ1	uc058xyg.1 human
A0A087WTQ2	uc057rfb.1 human
A0A087WTQ3	uc063jcs.1 human
A0A087WTQ6	uc064bcb.1 human
A0A087WTQ7	uc058bbo.1 human
A0A087WTQ9	uc057vvb.1 human
A0A087WTR0	uc060egm.1 human
A0A087WTR1	uc057lmw.1 human
A0A087WTR2	uc062mcc.1 human
A0A087WTR3	uc058hkl.1 human
A0A087WTR4	uc059rqf.1 human
A0A087WTR5	uc061bkb.1 human
A0A087WTR6	uc057tid.1 human
A0A087WTR7	uc058zoh.1 human
A0A087WTR9	uc031vks.2 human
A0A087WTS0	uc059cle.1 human
A0A087WTS1	uc062lfx.1 human
A0A087WTS3	uc064ony.1 human
A0A087WTS4	uc002wez.4 human
A0A087WTS6	uc060qri.1 human
A0A087WTS7	uc058evs.1 human
A0A087WTS8	uc063gyg.1 human
A0A087WTS9	uc061aos.1 human
A0A087WTT1	uc064pbr.1 human
A0A087WTT2	uc010gbi.3 human
A0A087WTT5	uc065aed.1 human
A0A087WTT6	uc059bff.1 human
A0A087WTT7	uc063nyb.1 human
A0A087WTT8	uc058gth.1 human
A0A087WTT9	uc065asl.1 human
A0A087WTU1	uc057gdv.1 human
A0A087WTU2	uc064rck.1 human
A0A087WTU3	uc021wyt.3 human
A0A087WTU4	uc060emh.1 human
A0A087WTU5	uc061wet.1 human
A0A087WTU6	uc058hvs.1 human
A0A087WTU7	uc064ylw.1 human
A0A087WTU8	uc063jos.1 human
A0A087WTU9	uc032nre.2 human
A0A087WTV1	uc061yhf.1 human
A0A087WTV2	uc060fon.1 human
A0A087WTV4	uc064rlv.1 human
A0A087WTV5	uc060eke.1 human
A0A087WTV6	uc031psk.1 human
A0A087WTV7	uc063fic.1 human
A0A087WTW0	uc060saa.1 human
A0A087WTW1	uc057kch.1 human
A0A087WTW2	uc062icq.1 human
A0A087WTW3	uc062zpy.1 human
A0A087WTW4	uc057kht.1 human
A0A087WTW5	uc063qcj.1 human
A0A087WTW6	uc062xat.1 human
A0A087WTW8	uc058oyg.1 human
A0A087WTW9	uc059czg.1 human
A0A087WTX1	uc062npi.1 human
A0A087WTX2	uc063num.1 human
A0A087WTX3	uc061uwa.1 human
A0A087WTX4	uc059wny.1 human
A0A087WTX5	uc061lqa.1 human
A0A087WTX6	uc060pwt.1 human
A0A087WTX8	uc063evc.1 human
A0A087WTX9	uc064tkw.1 human
A0A087WTY0	uc011buu.2 human
A0A087WTY1	uc010aam.4 human
A0A087WTY2	uc059lbr.1 human
A0A087WTY3	uc057cjy.1 human
A0A087WTY4	uc057pkh.1 human
A0A087WTY5	uc058yfr.1 human
A0A087WTY6	uc021ohz.1 human
A0A087WTY7	uc062vou.1 human
A0A087WTY8	uc061hbz.1 human
A0A087WTY9	uc062uyk.1 human
A0A087WTZ0	uc062gky.1 human
A0A087WTZ2	uc063jpx.1 human
A0A087WTZ3	uc058hfp.1 human
A0A087WTZ4	uc057ceo.1 human
A0A087WTZ5	uc031xqw.2 human
A0A087WTZ7	uc058iag.1 human
A0A087WTZ8	uc064qbv.1 human
A0A087WU01	uc060rgb.1 human
A0A087WU02	uc058mil.1 human
A0A087WU03	uc062xsx.1 human
A0A087WU04	uc058zge.1 human
A0A087WU05	uc010vnq.4 human
A0A087WU06	uc001vsg.3 human
A0A087WU07	uc021oht.1 human
A0A087WU08	uc059wxx.1 human
A0A087WU09	uc057csr.1 human
A0A087WU10	uc063jyh.1 human
A0A087WU11	uc062wvp.1 human
A0A087WU12	uc060qrp.1 human
A0A087WU13	uc058kcf.1 human
A0A087WU14	uc063evd.1 human
A0A087WU15	uc058lgm.1 human
A0A087WU16	uc063qin.1 human
A0A087WU18	uc065bbt.1 human
A0A087WU21	uc063qjt.1 human
A0A087WU24	uc059klr.1 human
A0A087WU25	uc059rrh.1 human
A0A087WU26	uc002wpt.1 human
A0A087WU27	uc057oke.1 human
A0A087WU28	uc058kfm.1 human
A0A087WU29	uc062zxn.1 human
A0A087WU30	uc057jwq.1 human
A0A087WU31	uc003isj.2 human
A0A087WU32	uc063bid.1 human
A0A087WU33	uc060emp.1 human
A0A087WU35	uc032hqo.2 human
A0A087WU36	uc062flf.1 human
A0A087WU37	uc064rth.1 human
A0A087WU38	uc062gzy.1 human
A0A087WU39	uc063sst.1 human
A0A087WU40	uc064ngk.1 human
A0A087WU42	uc062cdm.1 human
A0A087WU43	uc059whw.1 human
A0A087WU44	uc059ued.1 human
A0A087WU46	uc022acz.2 human
A0A087WU48	uc064lau.1 human
A0A087WU49	uc032zzh.1 human
A0A087WU50	uc061tlb.1 human
A0A087WU51	uc059xys.1 human
A0A087WU52	uc059gsb.1 human
A0A087WU53	uc004fof.4 human
A0A087WU54	uc058eku.1 human
A0A087WU55	uc060ehj.1 human
A0A087WU57	uc022adc.2 human
A0A087WU58	uc064vlx.1 human
A0A087WU59	uc063iaw.1 human
A0A087WU60	uc060fav.1 human
A0A087WU62	uc031qzx.2 human
A0A087WU63	uc064ngl.1 human
A0A087WU64	uc064yjz.1 human
A0A087WU65	uc031uxx.2 human
A0A087WU66	uc064tgx.1 human
A0A087WU67	uc032fqx.2 human
A0A087WU68	uc060qre.1 human
A0A087WU70	uc062nkx.1 human
A0A087WU71	uc060ejy.1 human
A0A087WU72	uc061dbj.1 human
A0A087WU73	uc062eny.1 human
A0A087WU76	uc057pcb.1 human
A0A087WU77	uc064ijo.1 human
A0A087WU78	uc064yes.1 human
A0A087WU79	uc059wmz.1 human
A0A087WU80	uc063run.1 human
A0A087WU81	uc062yld.1 human
A0A087WU82	uc060eft.1 human
A0A087WU83	uc032wlj.2 human
A0A087WU84	uc064mut.1 human
A0A087WU85	uc060rqa.1 human
A0A087WU87	uc063qju.1 human
A0A087WU88	uc061yyh.1 human
A0A087WU89	uc058crs.1 human
A0A087WU90	uc031pqz.2 human
A0A087WU91	uc059ggs.1 human
A0A087WU93	uc060ecl.1 human
A0A087WU95	uc061qmf.1 human
